Date,Open,High,Low,Close,Vol
23/05/2017 00:00,2104.6,2269.6,2100.4,2255.4,2469
24/05/2017 00:00,2256.2,2435,2254.4,2429.8,2111
25/05/2017 00:00,2420.5,2799,2205.8,2329.2,3260
26/05/2017 00:00,2329.2,2661.5,2241.4,2241.6,2833
28/05/2017 00:00,2117.1,2248.3,2089.7,2180.2,343
29/05/2017 00:00,2179.5,2352.6,2094.4,2274.3,5501
30/05/2017 00:00,2275,2330.5,2129.4,2191.7,4861
31/05/2017 00:00,2191.4,2335.7,2147.5,2303.4,4938
01/06/2017 00:00,2303.5,2475.2,2298.4,2418.4,2580
02/06/2017 00:00,2418.4,2449,2379.4,2429.9,2890
04/06/2017 00:00,2505.1,2536.9,2500.8,2523.1,223
05/06/2017 00:00,2523.5,2629.1,2518.2,2624.5,1601
06/06/2017 00:00,2690,2938.5,2670.8,2869.1,2623
07/06/2017 00:00,2868.8,2881.6,2609.3,2686.3,3217
08/06/2017 00:00,2684.9,2811.9,2618.4,2807.7,2630
09/06/2017 00:00,2807.6,2860.4,2786.6,2834.5,2116
11/06/2017 00:00,2922.7,2998.9,2855,2954,233
12/06/2017 00:00,2954.2,3000,2426.7,2523.6,1315
13/06/2017 00:00,2654,2784.5,2632,2710,2623
14/06/2017 00:00,2709.9,2811.1,2326.2,2452.7,1303
15/06/2017 00:00,2341.3,2470.1,2075.1,2406.7,2728
16/06/2017 00:00,2405.4,2520.7,2302.5,2487.9,2305
18/06/2017 00:00,2470,2523.4,2458.2,2508.2,384
19/06/2017 00:00,2514.3,2585.4,2483.6,2580,2489
20/06/2017 00:00,2597,2772.1,2583.7,2725.1,2622
21/06/2017 00:00,2725.1,2780,2569.3,2647.3,1769
22/06/2017 00:00,2647.4,2728.6,2597.7,2683.5,2525
23/06/2017 00:00,2683.4,2734.1,2664.1,2707,2008
25/06/2017 00:00,2472.5,2506.8,2407.6,2498.8,247
26/06/2017 00:00,2498.7,2556,2252.6,2407.9,2663
27/06/2017 00:00,2407.9,2570.5,2264.4,2570.5,2821
28/06/2017 00:00,2570.5,2602.3,2455.4,2553.5,2183
29/06/2017 00:00,2553,2591.8,2502.4,2530.1,2384
30/06/2017 00:00,2531.1,2552.2,2478.2,2501.6,1561
02/07/2017 00:00,2496.6,2534.4,2494.3,2507.9,228
03/07/2017 00:00,2508.1,2584.6,2471.4,2546.9,1931
04/07/2017 00:00,2546.6,2637.4,2543.9,2602,1938
05/07/2017 00:00,2602,2629.2,2537.5,2614.7,1697
06/07/2017 00:00,2612.3,2621.6,2578.4,2603.7,1955
07/07/2017 00:00,2603.5,2608.5,2486.7,2514.9,1449
09/07/2017 00:00,2527.1,2539.2,2497.1,2500.2,206
10/07/2017 00:00,2499.8,2523,2256.4,2330.7,1990
11/07/2017 00:00,2330.6,2408.4,2254.1,2329.4,2089
12/07/2017 00:00,2300.9,2413,2241.8,2382.4,2534
13/07/2017 00:00,2381.4,2417.5,2307.1,2339.4,2181
14/07/2017 00:00,2339.5,2352.1,2150.3,2157.9,2029
16/07/2017 00:00,1865.2,1938.4,1854.8,1905.4,285
17/07/2017 00:00,1906.4,2230.1,1904.4,2224.2,2160
18/07/2017 00:00,2221.4,2393.8,2144,2307.4,2820
19/07/2017 00:00,2348.4,2394.4,2216,2259,2496
20/07/2017 00:00,2259,2773,2257,2740,2062
21/07/2017 00:00,2634.6,2650.4,2612.8,2625,116
23/07/2017 00:00,2784.8,2792,2720.4,2755.6,284
24/07/2017 00:00,2754.6,2801.9,2719.7,2758.6,1927
25/07/2017 00:00,2758.8,2777.3,2449.8,2561.6,2315
26/07/2017 00:00,2561.3,2609.4,2402.6,2525.1,2088
27/07/2017 00:00,2525.7,2686.2,2510.7,2664.9,1979
28/07/2017 00:00,2665.2,2833,2655.4,2754.3,2279
31/07/2017 00:00,2759.5,2906.3,2678.2,2869.2,3453
01/08/2017 00:00,2868.5,2923.9,2637.9,2729.2,3130
02/08/2017 00:00,2729.2,2757,2648.9,2699.9,2644
03/08/2017 00:00,2699.9,2803.6,2698.3,2789.3,2149
04/08/2017 00:00,2789.3,2877.1,2761.3,2832,1842
06/08/2017 00:00,3264.6,3273.5,3212.6,3229.4,222
07/08/2017 00:00,3229.4,3422.6,3190.9,3393.8,2329
08/08/2017 00:00,3396.8,3486.6,3346,3422.6,2557
09/08/2017 00:00,3422.7,3433.7,3236.7,3344,2942
10/08/2017 00:00,3356.3,3460.2,3315.1,3434.1,2175
11/08/2017 00:00,3481.5,3588.3,3457.9,3587.9,1428
13/08/2017 00:00,4010.1,4124.4,4002.2,4060.5,358
14/08/2017 00:00,4060.5,4340.6,3978,4320.6,2488
15/08/2017 00:00,4320.5,4449.9,3807.5,4159.9,2846
16/08/2017 00:00,4159.9,4390.9,4111.8,4380.4,562
17/08/2017 00:00,4380.2,4476.3,4179.3,4335.7,1652
18/08/2017 00:00,4280,4309.9,4189.6,4300.4,579
20/08/2017 00:00,4117.8,4149,4042.3,4063.4,309
21/08/2017 00:00,4063.4,4102.4,3964.1,3996.6,1733
