Date,Open,High,Low,Close,Vol
25/08/2008 00:00,1.47857,1.48067,1.47185,1.47242,342594
26/08/2008 00:00,1.4725,1.47269,1.45655,1.46429,862105
27/08/2008 00:00,1.46437,1.47761,1.46419,1.4743,863758
28/08/2008 00:00,1.47462,1.48103,1.46691,1.47013,866737
29/08/2008 00:00,1.47026,1.47674,1.46368,1.46714,828348
31/08/2008 00:00,1.46748,1.47198,1.46748,1.46967,33247
01/09/2008 00:00,1.46962,1.47029,1.45543,1.4581,864080
02/09/2008 00:00,1.45808,1.45981,1.44626,1.44873,863699
03/09/2008 00:00,1.44866,1.45219,1.43811,1.45129,865385
04/09/2008 00:00,1.45134,1.45438,1.42108,1.42572,858696
05/09/2008 00:00,1.42574,1.43462,1.41957,1.42666,787739
07/09/2008 00:00,1.42658,1.43986,1.42658,1.43524,75587
08/09/2008 00:00,1.4351,1.4428,1.40516,1.4133,864591
09/09/2008 00:00,1.41335,1.42267,1.40435,1.40919,857793
10/09/2008 00:00,1.40922,1.41796,1.39332,1.39359,858834
11/09/2008 00:00,1.39351,1.4038,1.38778,1.40064,862773
12/09/2008 00:00,1.40081,1.42325,1.39683,1.42204,829380
14/09/2008 00:00,1.42253,1.43488,1.42253,1.43163,31922
15/09/2008 00:00,1.43164,1.44821,1.4082,1.42425,860968
16/09/2008 00:00,1.42423,1.42826,1.40699,1.41656,864027
17/09/2008 00:00,1.41667,1.43837,1.40966,1.4335,861225
18/09/2008 00:00,1.43353,1.45404,1.42772,1.42985,858985
19/09/2008 00:00,1.42982,1.44975,1.41494,1.44646,785263
21/09/2008 00:00,1.44698,1.45012,1.4433,1.44887,75852
22/09/2008 00:00,1.44877,1.4864,1.44513,1.48008,860829
23/09/2008 00:00,1.48003,1.48264,1.46195,1.46831,864533
24/09/2008 00:00,1.46822,1.47451,1.45996,1.4651,864588
25/09/2008 00:00,1.46506,1.47667,1.45584,1.46624,861486
26/09/2008 00:00,1.4663,1.46777,1.45538,1.46108,783317
28/09/2008 00:00,1.45811,1.45811,1.4507,1.45357,75157
29/09/2008 00:00,1.45356,1.45675,1.43001,1.43655,1723532
30/09/2008 00:00,1.43677,1.44243,1.40067,1.41178,863637
01/10/2008 00:00,1.4119,1.4174,1.39755,1.39905,860588
02/10/2008 00:00,1.399,1.40145,1.37455,1.3786,936627
03/10/2008 00:00,1.3786,1.39065,1.37025,1.37705,868945
05/10/2008 00:00,1.36686,1.3704,1.361,1.3649,36050
06/10/2008 00:00,1.3649,1.367,1.3443,1.3515,1128980
07/10/2008 00:00,1.3515,1.37425,1.34815,1.357,817008
08/10/2008 00:00,1.35687,1.37535,1.35429,1.3608,710363
09/10/2008 00:00,1.36079,1.37812,1.35528,1.35568,178136
10/10/2008 00:00,1.35567,1.36407,1.32592,1.34091,131567
12/10/2008 00:00,1.35653,1.36181,1.35412,1.35955,47262
13/10/2008 00:00,1.35969,1.36795,1.34498,1.36528,174755
14/10/2008 00:00,1.3654,1.37639,1.35585,1.35616,172587
15/10/2008 00:00,1.35583,1.36847,1.3421,1.34334,173138
16/10/2008 00:00,1.34333,1.35329,1.33467,1.34835,174898
17/10/2008 00:00,1.34814,1.35116,1.33846,1.34052,165659
19/10/2008 00:00,1.34216,1.34437,1.33917,1.34418,92839
20/10/2008 00:00,1.34435,1.35299,1.32871,1.33373,712195
21/10/2008 00:00,1.3338,1.33514,1.29995,1.30052,712153
22/10/2008 00:00,1.30056,1.3031,1.27257,1.27701,713145
23/10/2008 00:00,1.27699,1.30016,1.27319,1.28979,713183
24/10/2008 00:00,1.28987,1.29033,1.24941,1.2619,665315
26/10/2008 00:00,1.25557,1.2621,1.25293,1.26188,43355
27/10/2008 00:00,1.26219,1.26774,1.23331,1.24602,1427687
28/10/2008 00:00,1.24645,1.28374,1.2329,1.28055,712551
29/10/2008 00:00,1.28055,1.2991,1.26235,1.2956,665080
30/10/2008 00:00,1.29565,1.3285,1.2805,1.28685,652571
31/10/2008 00:00,1.28715,1.2885,1.26675,1.27245,548503
02/11/2008 00:00,1.2745,1.2783,1.27355,1.27711,8578
03/11/2008 00:00,1.27725,1.28985,1.2575,1.26135,724719
04/11/2008 00:00,1.2615,1.3048,1.2525,1.2981,909222
05/11/2008 00:00,1.2981,1.31145,1.27925,1.29135,865522
06/11/2008 00:00,1.29135,1.2932,1.26735,1.26875,819651
07/11/2008 00:00,1.26875,1.285,1.2652,1.2716,722355
09/11/2008 00:00,1.2816,1.2827,1.2775,1.2823,20842
